tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
1539,6.0,23725.tif,0,10,2079,129.9,0.0042
1539,6.0,23725.tif,0,20,5890,368.1,0.012
1539,6.0,23725.tif,0,30,22801,1425.1,0.0465
1539,6.0,23725.tif,0,40,56747,3546.7,0.1158
1539,6.0,23725.tif,0,50,94506,5906.6,0.1929
1539,6.0,23725.tif,0,60,169622,10601.4,0.3462
1539,6.0,23725.tif,0,70,376628,23539.2,0.7687
1539,6.0,23725.tif,0,80,482830,30176.9,0.9854
1539,6.0,23725.tif,0,90,489957,30622.3,1.0
1539,6.0,23725.tif,0,100,489957,30622.3,1.0
3615,1.4,23805.tif,0,10,86,5.4,0.0001
3615,1.4,23805.tif,0,20,1140,71.2,0.0014
3615,1.4,23805.tif,0,30,1819,113.7,0.0022
3615,1.4,23805.tif,0,40,4085,255.3,0.0049
3615,1.4,23805.tif,0,50,9014,563.4,0.0108
3615,1.4,23805.tif,0,60,147180,9198.8,0.1765
3615,1.4,23805.tif,0,70,658870,41179.4,0.79
3615,1.4,23805.tif,0,80,828247,51765.4,0.9931
3615,1.4,23805.tif,0,90,833944,52121.5,0.9999
3615,1.4,23805.tif,0,100,833976,52123.5,0.9999
3615,4.0,23804.tif,0,10,97,6.1,0.0002
3615,4.0,23804.tif,0,20,2228,139.2,0.0038
3615,4.0,23804.tif,0,30,9883,617.7,0.0171
3615,4.0,23804.tif,0,40,26721,1670.1,0.0461
3615,4.0,23804.tif,0,50,43949,2746.8,0.0759
3615,4.0,23804.tif,0,60,132436,8277.2,0.2287
3615,4.0,23804.tif,0,70,434989,27186.8,0.7511
3615,4.0,23804.tif,0,80,575946,35996.6,0.9945
3615,4.0,23804.tif,0,90,579095,36193.4,0.9999
3615,4.0,23804.tif,0,100,579111,36194.4,0.9999
3615,5.0,23802.tif,0,10,246,15.4,0.0005
3615,5.0,23802.tif,0,20,5346,334.1,0.0114
3615,5.0,23802.tif,0,30,16884,1055.2,0.0359
3615,5.0,23802.tif,0,40,33620,2101.2,0.0715
3615,5.0,23802.tif,0,50,54437,3402.3,0.1158
3615,5.0,23802.tif,0,60,132473,8279.6,0.2818
3615,5.0,23802.tif,0,70,351952,21997.0,0.7486
